Date,AAPL,GOOG,TSLA,AMZN
2014-10-17,24.4175,25.488522,15.165333,15.182
2014-10-20,24.940001,25.970697,15.364667,15.3105
2014-10-21,25.6175,26.254917,15.689333,15.7665
2014-10-22,25.747499,26.562572,15.406667,15.6485
2014-10-23,26.2075,27.124531,15.686,15.659
2014-10-24,26.305,26.915106,15.682667,14.353
2014-10-27,26.2775,26.96447,14.778,14.4985
2014-10-28,26.684999,27.369856,16.184668,14.7795
2014-10-29,26.834999,27.391296,15.873333,14.706
2014-10-30,26.745001,27.440163,15.910667,14.9535
2014-10-31,27.0,27.877462,16.113333,15.273
2014-11-03,27.35,27.684992,16.172667,15.286
2014-11-04,27.15,27.629642,15.928667,15.1405
2014-11-05,27.215,27.221264,15.398,14.826
2014-11-06,27.174999,27.027796,16.081333,14.832
2014-11-07,27.252501,26.976437,16.013332,14.993
2014-11-10,27.2075,27.299549,16.128668,15.2555
2014-11-11,27.424999,27.439165,16.738667,15.6005
2014-11-12,27.8125,27.290573,16.606667,15.5755
2014-11-13,28.205,27.194338,16.780001,15.824
2014-11-14,28.545,27.145472,17.245333,16.391001
2014-11-17,28.497499,26.752052,16.931999,16.1525
2014-11-18,28.8675,26.678255,17.18,16.2465
2014-11-19,28.6675,26.775988,16.516001,16.327
2014-11-20,29.077499,26.668282,16.580667,16.527
2014-11-21,29.1175,26.801416,16.185333,16.6315
2014-11-24,29.657499,26.889673,16.448,16.782
2014-11-25,29.4,26.979927,16.539333,16.752001
2014-11-26,29.75,26.944525,16.562668,16.678499
2014-11-28,29.7325,27.017324,16.301332,16.931999
2014-12-01,28.7675,26.616922,15.442667,16.299999
2014-12-02,28.657499,26.614429,15.428667,16.3155
2014-12-03,28.9825,26.493263,15.286667,15.825
2014-12-04,28.872499,26.791943,15.218667,15.8465
2014-12-05,28.75,26.191092,14.914,15.6315
2014-12-08,28.1,26.276857,14.290667,15.332
2014-12-09,28.530001,26.595482,14.459333,15.625
2014-12-10,27.987499,26.230984,13.989333,15.292
2014-12-11,27.905001,26.344671,13.925333,15.368
2014-12-12,27.432501,25.861996,13.8,15.366
2014-12-15,27.057501,25.619661,13.602667,15.3035
2014-12-16,26.6875,24.701681,13.187333,14.753
2014-12-17,27.352501,25.175381,13.721333,14.944
2014-12-18,28.1625,25.485031,14.550667,14.8865
2014-12-19,27.945,25.746813,14.619333,14.995
2014-12-22,28.235001,26.171646,14.84,15.327
2014-12-23,28.135,26.456863,14.731333,15.3145
2014-12-24,28.002501,26.366112,14.817333,15.1515
2014-12-26,28.497499,26.628391,15.188,15.4545
2014-12-29,28.477501,26.443897,15.047333,15.602
2014-12-30,28.129999,26.448385,14.815333,15.515
2014-12-31,27.594999,26.247936,14.827333,15.5175
2015-01-02,27.3325,26.168653,14.620667,15.426
2015-01-05,26.5625,25.623152,14.006,15.1095
2015-01-06,26.565001,25.029282,14.085333,14.7645
2015-01-07,26.9375,24.986401,14.063333,14.921
2015-01-08,27.9725,25.065184,14.041333,15.023
2015-01-09,28.002501,24.740576,13.777333,14.8465
2015-01-12,27.3125,24.56007,13.480667,14.5705
2015-01-13,27.555,24.741074,13.616667,14.737
2015-01-14,27.450001,24.974932,12.846,14.6635
2015-01-15,26.705,25.020805,12.791333,14.3475
2015-01-16,26.497499,25.334444,12.871333,14.537
2015-01-20,27.18,25.275606,12.795333,14.472
2015-01-21,27.387501,25.831081,13.104667,14.8625
2015-01-22,28.1,26.646341,13.441333,15.516
2015-01-23,28.245001,26.92358,13.419333,15.6195
2015-01-26,28.275,26.687229,13.77,15.483
2015-01-27,27.285,25.8605,13.732,15.3375
2015-01-28,28.827499,25.430182,13.291333,15.1955
2015-01-29,29.725,25.463091,13.68,15.589
2015-01-30,29.290001,26.652824,13.573333,17.7265
2015-02-02,29.657499,26.351652,14.062667,18.223499
2015-02-03,29.6625,26.389547,14.557333,18.1775
2015-02-04,29.889999,26.066435,14.57,18.237499
2015-02-05,29.985001,26.306774,14.732667,18.6945
2015-02-06,29.7325,26.477306,14.490667,18.714001
2015-02-09,29.93,26.319241,14.498667,18.528
2015-02-10,30.504999,26.773493,14.419333,18.65
2015-02-11,31.219999,26.725126,14.186667,18.757
2015-02-12,31.615,27.072172,13.525333,18.8585
2015-02-13,31.77,27.375341,13.584667,19.091499
2015-02-17,31.9575,27.067686,13.623333,18.7715
2015-02-18,32.18,26.911116,13.630667,18.668501
2015-02-19,32.112499,27.069181,14.114,18.950001
2015-02-20,32.375,26.873718,14.474,19.183001
2015-02-23,33.25,26.522682,13.822667,19.007
2015-02-24,33.0425,26.73111,13.607333,18.929501
2015-02-25,32.197498,27.119045,13.584,19.268499
2015-02-26,32.605,27.697954,13.812667,19.24
2015-02-27,32.115002,27.843555,13.556,19.007999
2015-03-02,32.272499,28.488785,13.155333,19.283001
2015-03-03,32.34,28.60347,13.304,19.230499
2015-03-04,32.134998,28.590006,13.496,19.136
2015-03-05,31.602501,28.687738,13.375333,19.3915
2015-03-06,31.65,28.306534,12.925333,19.004499
2015-03-09,31.785,28.364626,12.725333,18.927999
2015-03-10,31.127501,27.67452,12.688,18.4755
2015-03-11,30.559999,27.483543,12.916,18.318501
2015-03-12,31.112499,27.699451,12.738,18.712
2015-03-13,30.897499,27.291073,12.578667,18.528999
2015-03-16,31.237499,27.649588,13.046667,18.6675
2015-03-17,31.76,27.466591,12.982,18.596001
2015-03-18,32.1175,27.898405,13.380667,18.757
2015-03-19,31.875,27.823112,13.043333,18.662001
2015-03-20,31.475,27.941286,13.205333,18.9245
2015-03-23,31.8025,27.863998,13.308667,18.755501
2015-03-24,31.672501,28.43144,13.448,18.7045
2015-03-25,30.844999,27.862753,12.953333,18.548
2015-03-26,31.059999,27.682499,12.694,18.3675
2015-03-27,30.8125,27.341932,12.333333,18.528
2015-03-30,31.592501,27.525928,12.704667,18.7295
2015-03-31,31.1075,27.32498,12.584667,18.605
2015-04-01,31.0625,27.053724,12.506,18.513
2015-04-02,31.33,26.703186,12.733333,18.612499
2015-04-06,31.8375,26.764767,13.54,18.851999
2015-04-07,31.502501,26.777481,13.55,18.720501
2015-04-08,31.4,27.006353,13.844667,19.059999
2015-04-09,31.639999,26.964968,14.006,19.177
2015-04-10,31.775,26.926573,14.06,19.1325
2015-04-13,31.7125,26.884687,13.985333,19.118
2015-04-14,31.575001,26.44689,13.830667,19.255501
2015-04-15,31.695,26.553596,13.855333,19.172501
2015-04-16,31.5425,26.616922,13.78,19.302
2015-04-17,31.1875,26.130758,13.786,18.778
2015-04-20,31.9,26.695707,13.684667,19.4755
2015-04-21,31.727501,26.625401,13.960667,19.559
2015-04-22,32.154999,26.894411,14.629333,19.49
2015-04-23,32.4175,27.275116,14.573333,19.4995
2015-04-24,32.57,28.175644,14.562,22.254999
2015-04-27,33.162498,27.768499,15.436667,21.927999
2015-04-28,32.639999,27.684,15.365333,21.4655
2015-04-29,32.16,27.454,15.496667,21.4685
